spam,Selected customer alert: get premium membership free. Confirm at reward-center.net.
spam,Free entry in weekly contest to win bike. Send YES to 90909 today. Offer valid today only.
spam,Selected customer alert: get premium membership free. Confirm at tinyurl.com/rewardfast.
ham,"Hey Karan, are we still meeting at 5:00 pm near the library? Please confirm."
spam,Congratulations! You are chosen for a free vacation. Call now on 54545.
spam,Hot singles near you are waiting. Visit reward-center.net now. Offer valid today only.
spam,"WINNER! You have been selected to receive Rs 10,000 cash prize. Text WIN to 54545 now."
ham,Let us have lunch at the campus tomorrow.
ham,Can we reschedule to Thursday 11:00 am? Please confirm.
spam,Limited offer: get loan approved instantly. Click reward-center.net to apply. Offer valid today only.
ham,"I will be late by 10 minutes, traffic is heavy. Please confirm."
spam,Earn Rs 5000 daily from home. Register at claim-bonus-now.com. Offer valid today only.
spam,Hot singles near you are waiting. Visit bit.ly/claim-now now. Offer valid today only.
spam,"Dear user, your KYC failed. Update immediately on tinyurl.com/rewardfast. Offer valid today only."
spam,"Final notice! Claim your uncollected reward of Rs 25,000 by texting CLAIM to 90909. Offer valid today only."
spam,Selected customer alert: get premium membership free. Confirm at tinyurl.com/rewardfast. Offer valid today only.
ham,"Hey Maya, are we still meeting at 8:00 am near the library? Please confirm."
spam,Free entry in weekly contest to win bike. Send YES to 12121 today. Offer valid today only.
spam,Earn Rs 5000 daily from home. Register at bit.ly/claim-now.
spam,Limited offer: get loan approved instantly. Click tinyurl.com/rewardfast to apply.
spam,Selected customer alert: get premium membership free. Confirm at claim-bonus-now.com.
spam,Exclusive deal! Buy 1 get 3 free only today. Tap bit.ly/claim-now. Offer valid today only.
spam,"Final notice! Claim your uncollected reward of Rs 50,000 by texting CLAIM to 56060. Offer valid today only."
spam,URGENT! Your mobile number won a lucky draw for voucher. Reply CLAIM to 90909. Offer valid today only.
spam,"Dear user, your KYC failed. Update immediately on claim-bonus-now.com."
spam,Act now! Last 2 hours to claim your jackpot prize at tinyurl.com/rewardfast.
ham,"I left your book at the library, collect it when possible."
spam,Exclusive deal! Buy 1 get 3 free only today. Tap claim-bonus-now.com.
spam,"You have won a gift card worth Rs 1,00,000. Reply GIFT to 87121."
